Measurements,Maths,Mechanics,POM,Electricity,Thermodynamics,Computer,Maths2,Programming,Fluid,Electronics,Manufacturing,Drawing,Department
B,B,B-,B+,B+,A-,B+,B+,B,B,B+,B,B-,EE
B,B,A,A,B+,B,A-,C+,B-,B,B,B,B-,CO
B+,B,A-,A,B+,B,B+,B-,B,B,B,B+,C,EE
B+,A,B+,A-,A,B,B+,R,B+,B,B+,B,B+,EE
B,B+,B,B+,B+,A,B+,B-,B,B,B,B-,B-,EE
A-,B,B,B+,B,B,B,B-,B,B,B+,B+,B-,EE
B,B,B+,B,B+,R,B+,B+,A-,B+,A-,B,B,CE
B+,B+,B-,B,B,B,B+,B,B+,B,B,B,B-,CO
B,B,B,B,B,R,B+,B+,A-,B+,A,B,B-,ME
B,B,B+,B+,B,B,B+,B-,B,B,B,B,B-,CE
B+,B,B-,B+,B,B,B+,C+,B+,B-,B+,B,B,CE
A-,B,C+,A-,B+,R,B,B-,A-,B,A-,B+,B,CE
B,B+,R,B+,A-,A-,B+,B,A-,B,B+,B+,C+,ME
B,C,B,B+,B,B,B,B,B,B,B-,B,B+,ME
B,B+,B,B-,B,B-,B-,B+,B,B-,B,B,C+,CE
B+,B-,B,B+,B+,R,B+,B+,B+,B,B,B,B,CE
B+,B,R,B,A-,B,A-,B-,A-,B,B,A-,B-,CE
B,B,B-,B,B,B,B+,B,B-,B-,B,B-,B-,CE
B+,B,R,A-,B+,B,B+,B,B,B,B+,A-,B-,ME
B,B-,B,C+,B+,B-,B+,B,B-,B-,B,B,B-,CE
B+,B,R,B+,A-,B,B+,B,B+,B,A,B,C+,ME
A-,B+,R,A-,B+,B+,A-,B,B-,B,B,B,B-,ME
B,B,B,B,B-,B,B+,B-,A-,B,B+,B+,R,ME
A-,B+,B+,A,A-,A-,B+,R,B+,B,B,A-,R,ME
B,B+,R,B+,B,B-,B+,B-,B+,B,B,B+,B,CE
B+,C+,B,B,B+,B-,R,B+,B+,B,B,B,B-,ME
B+,B,B,B-,B,R,B+,B-,B-,B,B,B,B-,ME
B,B-,B,B+,B,B,B,R,B,B,B,B+,B-,ME
B+,B-,B,B+,B-,B,B-,R,B,B-,B+,B,B,CE
B,B-,R,C+,B+,B,B+,B,B+,B-,B,B+,B-,ME
B,B,B+,B,A-,R,B,R,B,B+,B,A-,B-,CO
R,R,B-,A-,B,B,B+,B,A-,B,B,B,B,ME
A-,B,B,A-,B,R,B,R,B+,B+,B,B+,C+,ME
R,B,B,B,B,R,B,B,B+,B,B,B,B-,CO
B,B,B-,B-,B,B+,B,C+,B-,B+,B,B,R,CE
A-,B-,B-,A,B,B,B,C+,R,R,B,A,B,ME
B+,B-,B-,B,B-,B,B,R,C+,B,B,B+,B-,CE
B,B,B,B,B+,B-,B-,B-,B-,B-,B,R,B-,ME
B,B+,B-,B+,B,B,B,R,B,R,B,A-,B-,CO
A-,B,R,A-,A-,B-,B+,R,A+,R,B+,B+,B+,ME
B+,B-,R,A-,B,R,B+,C+,A-,B,B,B,B-,ME
B,B,B,B+,B+,A-,A-,R,R,B,B,B,B-,ME
R,B,B-,B,B+,B,B+,B+,B-,B-,B+,R,B-,CE
B+,B,R,B-,B,R,A-,B-,B,B,B,B,B-,CE
B,B,B-,B+,B+,B,R,B,B-,C,B,A-,R,CE
B,B-,B,B-,B,R,B+,R,B,B,B,B-,B,CE
B,B-,R,B,B+,R,B,B-,B,B-,B,B+,B-,ME
B,B-,B-,B,B-,R,B,R,B,B-,B+,B,B,CE
R,B,B+,B-,B+,B-,B-,B,B,B,C+,B,R,ME
B,B-,B,B,R,R,B,B-,B-,C+,B,B-,B-,CE
B+,R,R,B,B+,B,B+,R,A-,B,B+,A,B+,CE
B,B-,R,C+,B,B,A-,B,B,B+,B,B,R,ME
B,B-,R,B-,B+,B,B+,R,A-,B-,B,B,C+,CE
B,B,R,B,B,B,R,B,B-,C+,B,B,C+,CE
B-,B-,B,B,B,R,B-,R,B-,B-,B-,B+,B-,ME
B,B-,R,C+,B,B-,B,B-,A-,R,B,C+,B-,CE
B-,B+,B-,B,B,B,B,R,B-,C+,B,B,R,ME
B,B-,R,B,B,R,B+,R,A-,B,B+,B,C+,ME
B,B-,B,B-,B+,C+,B+,R,C+,B,B-,R,B-,CE
B,B+,R,B,B,R,B,R,B+,B,B+,B,C,CE
A-,B-,R,C+,R,B,B,R,B,B-,B+,B,C+,CE
B,R,R,B+,R,B-,B,B-,B,C+,B,B,B-,ME
B,B,R,B+,B,R,B+,R,B+,R,B,B,B,CE
B+,R,R,B,B,R,B+,R,A-,B,B,A-,B-,CE
B,B-,R,C+,B,R,B,C+,R,B-,B,B,B-,ME
R,R,B-,C+,B,R,B-,C,B-,B-,B-,B,B-,ME
B-,B-,B-,B,B,R,R,R,B+,R,B-,B,B-,ME
